iter	Passed	Remaining
539	45199	21762
540	45291	21683
541	45384	21603
542	45463	21517
543	45562	21441
544	45650	21359
545	45742	21279
546	45839	21201
547	45939	21125
548	46033	21046
549	46122	20964
550	46211	20883
551	46307	20804
552	46404	20726
553	46496	20646
554	46594	20568
555	46687	20488
556	46784	20410
557	46877	20330
558	46967	20249
559	47069	20172
560	47169	20095
561	47261	20014
562	47362	19937
563	47603	19919
564	47701	19840
565	47809	19765
566	47902	19684
567	47976	19596
568	48057	19510
569	48137	19423
570	48215	19336
571	48290	19248
572	48372	19163
573	48449	19075
574	48529	18989
575	48604	18901
576	48681	18814
577	48763	18729
578	48837	18641
579	48913	18553
580	48988	18465
581	49066	18378
582	49148	18293
583	49228	18207
584	49302	18119
585	49382	18033
586	49464	17948
587	49552	17866
588	49625	17777
589	49700	17690
590	49782	17604
591	49864	17520
592	49945	17434
593	50022	17347
594	50099	17261
595	50179	17175
596	50249	17086
597	50328	17000
598	50413	16916
599	50497	16832
600	50575	16746
601	50647	16658
602	50727	16572
603	50811	16488
604	50890	16402
605	50963	16315
606	51045	16230
607	51133	16147
608	51206	16059
609	51286	15974
610	51358	15886
611	51435	15800
612	51520	15716
613	51597	15630
614	51674	15544
615	51754	15459
616	51828	15372
617	51904	15285
618	51989	15202
619	52059	15114
620	52139	15029
621	52218	14943
622	52293	14856
623	52368	14770
624	52448	14685
625	52531	14601
626	52605	14514
627	52696	14432
628	52779	14348
629	52862	14264
630	52938	14178
631	53032	14097
632	53111	14012
633	53190	13926
634	53268	13841
635	53352	13757
636	53431	13672
637	53515	13588
638	53593	13503
639	53670	13417
640	53754	13333
641	53834	13249
642	53914	13164
643	53997	13080
644	54077	12995
645	54153	12909
646	54226	12823
647	54301	12737
648	54370	12650
649	54451	12565
650	54541	12483
651	54620	12398
652	54688	12311
653	54769	12226
654	54860	12144
655	54950	12062
656	55027	11977
657	55105	11892
658	55184	11807
659	55259	11721
660	55338	11636
661	55414	11551
662	55496	11467
663	55574	11382
664	55654	11298
665	55729	11212
666	55809	11128
667	55886	11043
668	55966	10958
669	56040	10873
670	56118	10788
671	56195	10703
672	56269	10618
673	56350	10534
674	56423	10448
675	56507	10365
676	56583	10280
677	56656	10194
678	56739	10111
679	56812	10025
680	56897	9942
681	56983	9859
682	57061	9774
683	57138	9690
684	57216	9605
685	57290	9520
686	57370	9436
687	57453	9352
688	57534	9268
689	57613	9184
690	57688	9099
691	57764	9015
692	57843	8931
693	57921	8846
694	58006	8763
695	58082	8679
696	58163	8595
697	58241	8510
698	58314	8426
699	58396	8342
700	58480	8259
701	58553	8174
702	58625	8089
703	58699	8004
704	58777	7920
705	58855	7836
706	58925	7751
707	59004	7667
708	59082	7583
709	59162	7499
710	59239	7415
711	59323	7332
712	59402	7248
713	59481	7164
714	59554	7079
715	59632	6995
716	59710	6912
717	59792	6828
718	59861	6743
719	59944	6660
720	60023	6576
721	60108	6493
722	60177	6408
723	60249	6324
724	60331	6241
725	60411	6157
726	60500	6075
727	60578	5991
728	60651	5907
729	60726	5823
730	60807	5739
731	60897	5657
732	60969	5572
733	61039	5488
734	61121	5405
735	61209	5322
736	61284	5238
737	61366	5155
738	61453	5072
739	61532	4989
740	61612	4905
741	61688	4822
742	61767	4738
743	61845	4655
744	61927	4571
745	62006	4488
746	62089	4405
747	62179	4322
748	62262	4239
749	62337	4155
750	62413	4072
751	62494	3989
752	62576	3905
753	62653	3822
754	62724	3738
755	62804	3655
756	62884	3572
757	62964	3488
758	63039	3405
759	63249	3328
760	63328	3245
761	63405	3161
762	63488	3078
763	63565	2995
764	63642	2911
765	63714	2828
766	63787	2744
767	63865	2661
768	63955	2578
769	64037	2494
770	64113	2411
771	64189	2328
772	64270	2244
773	64341	2161
774	64425	2078
775	64505	1995
776	64586	1911
777	64657	1828
778	64736	1745
779	64815	1661
780	64897	1578
781	64970	1495
782	65049	1412
783	65125	1329
784	65199	1245
785	65284	1162
786	65362	1079
787	65440	996
788	65516	913
789	65605	830
790	65682	747
791	65769	664
792	65847	581
793	65930	498
794	66007	415
795	66085	332
796	66162	249
797	66243	166
798	66320	83
799	66397	0
